                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                       -8  0.9974712714465077E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.3242942460325468E-001  0.2728900701931178E-001  0.0000000000000000E+000  0.1343943281257487E-001  0.0000000000000000E+000
  0.3297842305425909E-001  0.2777987414079700E-001  0.0000000000000000E+000  0.1367407983665712E-001  0.0000000000000000E+000
  0.3422596292082628E-001  0.2890093590091181E-001  0.0000000000000000E+000  0.1420864348444328E-001  0.0000000000000000E+000
  0.3539335388901379E-001  0.2995728377634171E-001  0.0000000000000000E+000  0.1471065616609817E-001  0.0000000000000000E+000
  0.3649275902354505E-001  0.3095883712963295E-001  0.0000000000000000E+000  0.1518506626874641E-001  0.0000000000000000E+000
  0.3753363573247148E-001  0.3191309133254088E-001  0.0000000000000000E+000  0.1563572836808094E-001  0.0000000000000000E+000
  0.3852348548313605E-001  0.3282582400043878E-001  0.0000000000000000E+000  0.1606569392217902E-001  0.0000000000000000E+000
  0.3946838072144648E-001  0.3370234704409977E-001  0.0000000000000000E+000  0.1647743455865506E-001  0.0000000000000000E+000
  0.4037332708911685E-001  0.3454694124505685E-001  0.0000000000000000E+000  0.1687298598141923E-001  0.0000000000000000E+000
  0.4081214567886765E-001  0.3495834001120977E-001  0.0000000000000000E+000  0.1706523657577720E-001  0.0000000000000000E+000
  0.4124248681605570E-001  0.3536298234331017E-001  0.0000000000000000E+000  0.1725405763671048E-001  0.0000000000000000E+000
  0.4221974313579228E-001  0.3628634458420381E-001  0.0000000000000000E+000  0.1768390700074005E-001  0.0000000000000000E+000
  0.4315747405035585E-001  0.3717833446735576E-001  0.0000000000000000E+000  0.1809779378245451E-001  0.0000000000000000E+000
  0.4361278517066520E-001  0.3761359550632679E-001  0.0000000000000000E+000  0.1829927123636121E-001  0.0000000000000000E+000
  0.4449851818652243E-001  0.3846445186157255E-001  0.0000000000000000E+000  0.1869219086392300E-001  0.0000000000000000E+000
  0.4577053536719854E-001  0.3969614144054586E-001  0.0000000000000000E+000  0.1925878216358566E-001  0.0000000000000000E+000
  0.4658458730289336E-001  0.4049058069303305E-001  0.0000000000000000E+000  0.1962287005137209E-001  0.0000000000000000E+000
  0.4737407034049466E-001  0.4126577767092730E-001  0.0000000000000000E+000  0.1997709528758278E-001  0.0000000000000000E+000
  0.4814089309162677E-001  0.4202327764224398E-001  0.0000000000000000E+000  0.2032223689950071E-001  0.0000000000000000E+000
  0.4854962661798395E-001  0.4242890519528167E-001  0.0000000000000000E+000  0.2050665074534401E-001  0.0000000000000000E+000
  0.4895238772315568E-001  0.4282988986171465E-001  0.0000000000000000E+000  0.2068867604592754E-001  0.0000000000000000E+000
  0.4974091346763506E-001  0.4361867732807724E-001  0.0000000000000000E+000  0.2104593281628335E-001  0.0000000000000000E+000
