                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -16  0.5186344189658060E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.3242942460325468E-001  0.4648024378732735E-001  0.0000000000000000E+000  0.2288978760260895E-001  0.0000000000000000E+000
  0.3297842305425909E-001  0.4731653875396584E-001  0.0000000000000000E+000  0.2328950132937552E-001  0.0000000000000000E+000
  0.3422596292082628E-001  0.4922654117409025E-001  0.0000000000000000E+000  0.2420012448237002E-001  0.0000000000000000E+000
  0.3539335388901379E-001  0.5102633790504292E-001  0.0000000000000000E+000  0.2505531155274629E-001  0.0000000000000000E+000
  0.3649275902354505E-001  0.5273282195196929E-001  0.0000000000000000E+000  0.2586348992581654E-001  0.0000000000000000E+000
  0.3753363573247148E-001  0.5435875671220754E-001  0.0000000000000000E+000  0.2663122414525049E-001  0.0000000000000000E+000
  0.3852348548313605E-001  0.5591397940636941E-001  0.0000000000000000E+000  0.2736371218846358E-001  0.0000000000000000E+000
  0.3946838072144648E-001  0.5740753913618696E-001  0.0000000000000000E+000  0.2806516427510814E-001  0.0000000000000000E+000
  0.4037332708911685E-001  0.5884672781331034E-001  0.0000000000000000E+000  0.2873904706906624E-001  0.0000000000000000E+000
  0.4081214567886765E-001  0.5954776374514865E-001  0.0000000000000000E+000  0.2906657953202997E-001  0.0000000000000000E+000
  0.4124248681605570E-001  0.6023729447231561E-001  0.0000000000000000E+000  0.2938827172198939E-001  0.0000000000000000E+000
  0.4221974313579228E-001  0.6181077965326635E-001  0.0000000000000000E+000  0.3012061040073700E-001  0.0000000000000000E+000
  0.4315747405035585E-001  0.6333084361013622E-001  0.0000000000000000E+000  0.3082576596983668E-001  0.0000000000000000E+000
  0.4361278517066520E-001  0.6407259800823367E-001  0.0000000000000000E+000  0.3116903569219205E-001  0.0000000000000000E+000
  0.4449851818652243E-001  0.6552262064205341E-001  0.0000000000000000E+000  0.3183848590067445E-001  0.0000000000000000E+000
  0.4577053536719854E-001  0.6762172083762492E-001  0.0000000000000000E+000  0.3280385508534639E-001  0.0000000000000000E+000
  0.4658458730289336E-001  0.6897568038835862E-001  0.0000000000000000E+000  0.3342420758210774E-001  0.0000000000000000E+000
  0.4737407034049466E-001  0.7029687644456527E-001  0.0000000000000000E+000  0.3402776505178958E-001  0.0000000000000000E+000
  0.4814089309162677E-001  0.7158794058708327E-001  0.0000000000000000E+000  0.3461585416431626E-001  0.0000000000000000E+000
  0.4854962661798395E-001  0.7227929423149737E-001  0.0000000000000000E+000  0.3493008183321195E-001  0.0000000000000000E+000
  0.4895238772315568E-001  0.7296274283856979E-001  0.0000000000000000E+000  0.3524024211706342E-001  0.0000000000000000E+000
  0.4974091346763506E-001  0.7430719673096320E-001  0.0000000000000000E+000  0.3584899370785759E-001  0.0000000000000000E+000
