                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -10  0.7969072537108636E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.3242942460325468E-001  0.5281455947620045E-001  0.0000000000000000E+000  0.2600981903619395E-001  0.0000000000000000E+000
  0.3297842305425909E-001  0.5376467163422211E-001  0.0000000000000000E+000  0.2646396730033830E-001  0.0000000000000000E+000
  0.3422596292082628E-001  0.5593459315400454E-001  0.0000000000000000E+000  0.2749859483392277E-001  0.0000000000000000E+000
  0.3539335388901379E-001  0.5797927780278782E-001  0.0000000000000000E+000  0.2847022736098358E-001  0.0000000000000000E+000
  0.3649275902354505E-001  0.5991792227148318E-001  0.0000000000000000E+000  0.2938844140105944E-001  0.0000000000000000E+000
  0.3753363573247148E-001  0.6176503145790813E-001  0.0000000000000000E+000  0.3026069663411381E-001  0.0000000000000000E+000
  0.3852348548313605E-001  0.6353178554087076E-001  0.0000000000000000E+000  0.3109289874954290E-001  0.0000000000000000E+000
  0.3946838072144648E-001  0.6522846576753627E-001  0.0000000000000000E+000  0.3188983124107104E-001  0.0000000000000000E+000
  0.4037332708911685E-001  0.6686335733222698E-001  0.0000000000000000E+000  0.3265543370953176E-001  0.0000000000000000E+000
  0.4081214567886765E-001  0.6765971274239760E-001  0.0000000000000000E+000  0.3302754252623218E-001  0.0000000000000000E+000
  0.4124248681605570E-001  0.6844299319718297E-001  0.0000000000000000E+000  0.3339301438577133E-001  0.0000000000000000E+000
  0.4221974313579228E-001  0.7023039178070732E-001  0.0000000000000000E+000  0.3422501152176691E-001  0.0000000000000000E+000
  0.4315747405035585E-001  0.7195707957989834E-001  0.0000000000000000E+000  0.3502611737252175E-001  0.0000000000000000E+000
  0.4361278517066520E-001  0.7279965168092517E-001  0.0000000000000000E+000  0.3541609246417448E-001  0.0000000000000000E+000
  0.4449851818652243E-001  0.7444673979551258E-001  0.0000000000000000E+000  0.3617662212773668E-001  0.0000000000000000E+000
  0.4577053536719854E-001  0.7683107462771138E-001  0.0000000000000000E+000  0.3727331654540789E-001  0.0000000000000000E+000
  0.4658458730289336E-001  0.7836898827439225E-001  0.0000000000000000E+000  0.3797805050255847E-001  0.0000000000000000E+000
  0.4737407034049466E-001  0.7986966602099661E-001  0.0000000000000000E+000  0.3866369815275186E-001  0.0000000000000000E+000
  0.4814089309162677E-001  0.8133609835313217E-001  0.0000000000000000E+000  0.3933176711849560E-001  0.0000000000000000E+000
  0.4854962661798395E-001  0.8212135193462390E-001  0.0000000000000000E+000  0.3968872698485115E-001  0.0000000000000000E+000
  0.4895238772315568E-001  0.8289762117708273E-001  0.0000000000000000E+000  0.4004106454126247E-001  0.0000000000000000E+000
  0.4974091346763506E-001  0.8442465188347224E-001  0.0000000000000000E+000  0.4073259226475053E-001  0.0000000000000000E+000
